feature,auroc_drop_mean,auroc_drop_std
adherence_score,0.07932126022181185,0.012940012973460653
bnp,0.04988129508779572,0.013937881389911892
age,0.013726187335848882,0.006568561464592864
ace_inhibitor,0.01207005310181094,0.0032211774882989004
creatinine,0.010356573499558385,0.005111283740039105
beta_blocker,0.007584498400064199,0.0036895959997206465
distance_to_hospital_km,0.0064719982567007835,0.00594105775097284
sodium,0.0024176807239279174,0.005565292321917035
heart_rate,0.0021240724386691,0.0025955494309621613
systolic_bp,0.0013258249131217093,0.003430691913488584
diuretic,0.0010780929224346147,0.0007285705899396841
income_level,2.2938147285378465e-06,0.0006450433783950581
gender,-0.0015437373123373343,0.000865321654956594
bmi,-0.007883841222144573,0.00372221960292392
